fecha_corte,dia_llamada,NIT,Segmento,prob_opera_manana
2026-06-04,2026-06-05,10344,CIB,0.9712295967349462
2026-06-04,2026-06-05,4441,CIB,0.9674246978639098
2026-06-04,2026-06-05,9371,CIB,0.9664458919380398
2026-06-04,2026-06-05,869,CIB,0.9661142049916684
2026-06-04,2026-06-05,5789,CIB,0.9658675198578399
2026-06-04,2026-06-05,2978,CIB,0.9655093941287831
2026-06-04,2026-06-05,7684,CIB,0.9653109699145801
2026-06-04,2026-06-05,5410,CIB,0.9652643207125796
2026-06-04,2026-06-05,7063,Constructor,0.8707575808127476
2026-06-04,2026-06-05,9736,Grandes Empresas,0.9764618862519342
2026-06-04,2026-06-05,2016,Grandes Empresas,0.9740963789159618
2026-06-04,2026-06-05,3150,Grandes Empresas,0.9740494185254217
2026-06-04,2026-06-05,1334,Grandes Empresas,0.9713485214892079
2026-06-04,2026-06-05,10166,Grandes Empresas,0.9697205038398385
2026-06-04,2026-06-05,5698,Grandes Empresas,0.969406284891302
2026-06-04,2026-06-05,7503,Grandes Empresas,0.9678062321922346
2026-06-04,2026-06-05,5324,Grandes Empresas,0.9657731698721033
2026-06-04,2026-06-05,7338,Grandes Empresas,0.9657222482899048
2026-06-04,2026-06-05,6305,Grandes Empresas,0.963817602958489
2026-06-04,2026-06-05,5810,Grandes Empresas,0.9633184036504755
2026-06-04,2026-06-05,2155,Grandes Empresas,0.9630420610771568
2026-06-04,2026-06-05,5888,Grandes Empresas,0.9619650610622767
2026-06-04,2026-06-05,2304,Grandes Empresas,0.9619421517723192
2026-06-04,2026-06-05,1666,Grandes Empresas,0.9618665113180805
2026-06-04,2026-06-05,2448,Grandes Empresas,0.9605233566450729
2026-06-04,2026-06-05,1418,Institucional,0.9689450359676919
2026-06-04,2026-06-05,1292,Institucional,0.9684837977319353
2026-06-04,2026-06-05,1215,Institucional,0.9657332378322143
2026-06-04,2026-06-05,8484,Itaú Sucursales,0.9696332908088767
2026-06-04,2026-06-05,134,Personal Bank,0.543491189824232
2026-06-04,2026-06-05,9602,Pymes,0.9775044708749624
2026-06-04,2026-06-05,5330,Pymes,0.96957700511916
2026-06-04,2026-06-05,9880,Pymes,0.9684830975518328
2026-06-04,2026-06-05,3376,Pymes,0.9672492957921099
2026-06-04,2026-06-05,899,Pymes,0.9672492957921099
2026-06-04,2026-06-05,2398,Pymes,0.9534586166925167
2026-06-04,2026-06-05,9339,Pymes,0.9494068370992863
2026-06-04,2026-06-05,7470,Pymes,0.9488419119980789
2026-06-04,2026-06-05,3643,Pymes,0.9472022192358175
2026-06-04,2026-06-05,7120,Recuperaciones,0.943437028493016
2026-06-04,2026-06-05,3034,Sin informacion,0.8443059546698795
2026-06-05,2026-06-06,9116,Banca Privada,0.9456481943478036
2026-06-05,2026-06-06,1840,CIB,0.9730284534911134
2026-06-05,2026-06-06,5807,CIB,0.9704573794725639
2026-06-05,2026-06-06,4441,CIB,0.970366642865122
2026-06-05,2026-06-06,789,CIB,0.9629667924092449
2026-06-05,2026-06-06,1494,CIB,0.9622669755317043
2026-06-05,2026-06-06,3658,CIB,0.9607345083284553
2026-06-05,2026-06-06,2458,CIB,0.9605434871550617
2026-06-05,2026-06-06,5789,CIB,0.9602203798430656
2026-06-05,2026-06-06,2978,CIB,0.9599251947011176
2026-06-05,2026-06-06,9371,CIB,0.9597431357199562
2026-06-05,2026-06-06,4203,CIB,0.9595998343427358
2026-06-05,2026-06-06,7063,Constructor,0.791202341483444
2026-06-05,2026-06-06,2016,Grandes Empresas,0.9748649876212601
2026-06-05,2026-06-06,9736,Grandes Empresas,0.9685414835584334
2026-06-05,2026-06-06,1334,Grandes Empresas,0.9675163642995956
2026-06-05,2026-06-06,5698,Grandes Empresas,0.9664066375133806
2026-06-05,2026-06-06,10166,Grandes Empresas,0.9640458624389144
2026-06-05,2026-06-06,7503,Grandes Empresas,0.9627368505510127
2026-06-05,2026-06-06,3150,Grandes Empresas,0.9625692936593849
2026-06-05,2026-06-06,5324,Grandes Empresas,0.9618205505613038
2026-06-05,2026-06-06,7338,Grandes Empresas,0.9612583555914577
2026-06-05,2026-06-06,5213,Grandes Empresas,0.9597553223267198
2026-06-05,2026-06-06,1666,Grandes Empresas,0.9586715786391502
2026-06-05,2026-06-06,9550,Grandes Empresas,0.9571516721480512
2026-06-05,2026-06-06,6305,Grandes Empresas,0.9569400544013495
2026-06-05,2026-06-06,954,Grandes Empresas,0.9568859052825206
2026-06-05,2026-06-06,5888,Grandes Empresas,0.955470298649522
2026-06-05,2026-06-06,7388,Grandes Empresas,0.9550720663137874
2026-06-05,2026-06-06,5761,Institucional,0.9646676505650565
2026-06-05,2026-06-06,1418,Institucional,0.9582205350381137
2026-06-05,2026-06-06,1292,Institucional,0.9577678270588611
2026-06-05,2026-06-06,8484,Itaú Sucursales,0.9661403890263435
2026-06-05,2026-06-06,134,Personal Bank,0.5787798305142476
2026-06-05,2026-06-06,9602,Pymes,0.9752116479138425
2026-06-05,2026-06-06,5330,Pymes,0.9650128504881077
2026-06-05,2026-06-06,9880,Pymes,0.963449634726992
2026-06-05,2026-06-06,3376,Pymes,0.9623997022669641
2026-06-05,2026-06-06,899,Pymes,0.9623997022669641
2026-06-05,2026-06-06,3643,Pymes,0.9533665901656675
2026-06-05,2026-06-06,7470,Pymes,0.9443523105191032
2026-06-05,2026-06-06,2398,Pymes,0.9432320847240514
2026-06-05,2026-06-06,6232,Pymes,0.9394361019847172
2026-06-05,2026-06-06,7120,Recuperaciones,0.9382797087780991
2026-06-05,2026-06-06,8672,Sin informacion,0.8272849561822061
